Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
Approaching Target,0.8,0.78,0.7
Approaching Target,0.94,0.97,0.9
Exceeding Target,0.89,0.87,0.87
Approaching Target,0.85,0.88,0.81
Meeting Target,0.97,0.96,0.94
Exceeding Target,0.91,0.87,0.85
Meeting Target,0.94,0.87,0.88
Meeting Target,0.88,0.88,0.77
Exceeding Target,0.95,0.93,0.89
Meeting Target,0.82,0.82,0.69
Not Meeting Target,0.84,0.85,0.73
Approaching Target,0.93,0.9,0.89
Exceeding Target,0.88,0.95,0.91
Meeting Target,0.82,0.72,0.73
Exceeding Target,0.91,0.85,0.88
Exceeding Target,0.92,0.91,0.85
Meeting Target,0.86,0.76,0.83
Meeting Target,0.87,0.92,0.82
Approaching Target,0.78,0.75,0.72
Exceeding Target,1,1,1
Meeting Target,0.86,0.88,0.71
Meeting Target,0.89,0.88,0.82
Exceeding Target,0.86,0.89,0.84
Exceeding Target,0.82,0.9,0.81
Meeting Target,0.93,0.96,0.8
Meeting Target,0.95,0.91,0.89
Approaching Target,0.76,0.87,0.7
Meeting Target,0.79,0.77,0.69
Meeting Target,0.78,0.74,0.77
Exceeding Target,0.88,0.89,0.89
Exceeding Target,0.93,0.91,0.83
Approaching Target,0.68,0.73,0.78
Meeting Target,0.92,0.92,0.9
Exceeding Target,0.84,0.81,0.78
Exceeding Target,0.88,0.9,0.9
Exceeding Target,0.88,0.8,0.84
Exceeding Target,0.91,0.83,0.81
Exceeding Target,0.91,0.91,0.88
Exceeding Target,0.71,0.68,0.72
Approaching Target,0.83,0.83,0.81
Exceeding Target,0.97,0.89,0.94
Meeting Target,0.77,0.64,0.74
Meeting Target,0.87,0.85,0.85
Exceeding Target,0.96,0.94,0.93
Meeting Target,0.89,0.9,0.81
Meeting Target,0.97,0.98,0.93
Meeting Target,0.91,0.91,0.89
Meeting Target,0.75,0.67,0.78
Exceeding Target,0.97,0.96,0.93
Exceeding Target,0.91,0.94,0.9
Exceeding Target,0.87,0.87,0.82
Exceeding Target,0.88,0.9,0.87
Exceeding Target,0.96,0.95,0.91
Approaching Target,0.8,0.8,0.78
Meeting Target,0.78,0.74,0.65
Exceeding Target,0.79,0.87,0.76
Exceeding Target,0.89,0.83,0.78
Exceeding Target,0.88,0.85,0.79
Approaching Target,0.81,0.86,0.7
Meeting Target,0.74,0.82,0.69
Approaching Target,0.66,0.65,0.62
Not Meeting Target,0.78,0.76,0.59
Exceeding Target,0.78,0.81,0.71
Exceeding Target,0.92,0.9,0.8
Exceeding Target,0.94,0.9,0.88
Exceeding Target,0.83,0.9,0.81
Meeting Target,0.73,0.63,0.56
Exceeding Target,0.92,0.96,0.91
Meeting Target,0.89,0.91,0.8
Meeting Target,0.94,0.96,0.9
Meeting Target,0.94,0.91,0.87
Meeting Target,0.73,0.75,0.71
Meeting Target,0.94,0.79,0.8
Exceeding Target,0.97,0.99,0.86
Approaching Target,0.71,0.71,0.56
Meeting Target,0.72,0.54,0.64
Meeting Target,0.92,0.92,0.81
Approaching Target,0.79,0.66,0.71
Meeting Target,0.9,0.77,0.82
Meeting Target,0.93,0.98,0.93
Meeting Target,0.79,0.82,0.81
Meeting Target,0.82,0.82,0.75
Meeting Target,0.92,0.92,0.82
Meeting Target,0.78,0.7,0.8
Meeting Target,0.8,0.86,0.72
Meeting Target,0.87,0.82,0.82
Approaching Target,0.8,0.79,0.73
Meeting Target,0.89,0.88,0.76
Approaching Target,0.86,0.88,0.81
Approaching Target,0.73,0.68,0.63
Exceeding Target,0.92,0.9,0.78
Exceeding Target,0.84,0.89,0.84
Meeting Target,0.96,0.98,0.94
Meeting Target,0.88,0.81,0.83
Meeting Target,0.75,0.73,0.69
Exceeding Target,0.96,0.96,0.92
Meeting Target,0.75,0.79,0.76
Exceeding Target,0.88,0.84,0.89
Approaching Target,0.77,0.85,0.61
Meeting Target,0.87,0.81,0.77
Meeting Target,0.78,0.78,0.77
Exceeding Target,0.91,0.96,0.93
Exceeding Target,0.83,0.81,0.8
Meeting Target,0.76,0.67,0.61
Approaching Target,0.76,0.76,0.66
Approaching Target,0.86,0.94,0.89
Meeting Target,0.85,0.81,0.7
Not Meeting Target,0.81,0.62,0.83
Meeting Target,1,0.98,0.98
Meeting Target,0.89,0.9,0.76
Approaching Target,0.69,0.54,0.63
Approaching Target,0.93,0.94,0.77
Meeting Target,0.85,0.78,0.64
Approaching Target,0.8,0.85,0.78
Meeting Target,0.79,0.73,0.72
Approaching Target,0.81,0.85,0.72
Approaching Target,0.74,0.75,0.65
Meeting Target,0.8,0.86,0.7
Approaching Target,0.8,0.77,0.72
Approaching Target,0.84,0.83,0.75
Approaching Target,0.76,0.74,0.69
Meeting Target,0.88,0.82,0.73
Meeting Target,0.9,0.84,0.71
Meeting Target,0.88,0.75,0.74
Meeting Target,0.89,0.93,0.84
Meeting Target,0.93,0.89,0.78
Meeting Target,0.78,0.73,0.76
Approaching Target,0.91,0.81,0.65
Approaching Target,0.79,0.82,0.73
Meeting Target,0.87,0.87,0.86
Meeting Target,0.79,0.74,0.73
Meeting Target,0.9,0.92,0.83
Meeting Target,0.78,0.74,0.64
Meeting Target,0.88,0.85,0.72
Approaching Target,0.75,0.8,0.68
Meeting Target,0.87,0.68,0.73
Meeting Target,0.95,0.96,0.91
Approaching Target,0.77,0.76,0.7
Meeting Target,0.74,0.72,0.6
Meeting Target,0.94,0.97,0.95
Approaching Target,0.72,0.7,0.76
Exceeding Target,0.9,0.85,0.87
Approaching Target,0.77,0.75,0.66
Meeting Target,0.89,0.96,0.86
Meeting Target,0.94,0.96,0.94
Approaching Target,0.88,0.91,0.8
Approaching Target,0.89,0.84,0.84
Approaching Target,0.81,0.73,0.72
Not Meeting Target,0.83,0.82,0.83
Meeting Target,0.75,0.76,0.79
Meeting Target,0.73,0.74,0.67
Approaching Target,0.81,0.83,0.69
Meeting Target,0.91,0.9,0.78
Exceeding Target,0.82,0.75,0.77
Exceeding Target,0.77,0.7,0.66
Approaching Target,0.67,0.62,0.68
Approaching Target,0.75,0.85,0.69
Approaching Target,0.8,0.77,0.69
Approaching Target,0.82,0.82,0.61
Meeting Target,0.81,0.75,0.74
Approaching Target,0.84,0.88,0.79
Meeting Target,0.82,0.83,0.72
Approaching Target,0.76,0.77,0.66
Exceeding Target,0.85,0.87,0.69
Meeting Target,0.86,0.93,0.72
Meeting Target,0.89,0.86,0.8
Approaching Target,0.87,0.93,0.76
Meeting Target,0.9,0.88,0.82
Meeting Target,0.83,0.84,0.92
Approaching Target,0.81,0.9,0.76
Meeting Target,0.79,0.68,0.62
Approaching Target,0.82,0.82,0.86
Approaching Target,0.9,0.8,0.77
Meeting Target,0.81,0.84,0.69
Meeting Target,0.82,0.85,0.81
Meeting Target,0.88,0.85,0.79
Exceeding Target,0.92,0.93,0.89
Exceeding Target,0.89,0.86,0.81
Exceeding Target,0.91,0.91,0.76
Exceeding Target,0.87,0.85,0.87
Exceeding Target,0.92,0.94,0.87
Meeting Target,0.96,0.95,0.94
Exceeding Target,0.88,0.9,0.87
Exceeding Target,0.93,0.93,0.83
Exceeding Target,0.95,0.95,0.94
Meeting Target,0.95,0.98,0.96
Exceeding Target,0.91,0.95,0.89
